PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,latitude,longitude,Count Date,8HrVehVol,8HrPedVol
4,JARVIS ST,,ADELAIDE ST E,,12-Sep-1958,43.6515337,-79.37236,8/15/2012,19037,5679
14,BLOOR ST E,,TED ROGERS WAY,,28-Mar-1951,43.6715773,-79.38052,5/31/2012,16991,7835
22,CHURCH ST,,GERRARD ST E,,18-Jul-1941,43.659858,-79.378522,9/5/2012,17164,14490
25,BLOOR ST E,,CHURCH ST,,19-Feb-1932,43.6710224,-79.383123,5/30/2012,18894,26556
27,VICTORIA ST,,RICHMOND ST E,,03-Nov-1927,43.6519522,-79.377756,7/10/2012,12770,6969
31,YONGE ST,,KING ST,,03-Nov-1927,43.6491624,-79.377904,8/13/2012,12003,21413
32,YONGE ST,,ADELAIDE ST,,10-Jan-1928,43.650419,-79.378436,8/13/2012,11784,25543
34,YONGE ST,,QUEEN ST,,03-Nov-1927,43.6524209,-79.379276,8/7/2012,12508,24577
35,YONGE ST,,SHUTER ST,,12-Mar-1959,43.654066,-79.379957,8/9/2012,9753,9240
39,YONGE ST,,WELLESLEY ST,,30-Sep-1948,43.6649351,-79.384558,8/9/2012,14459,16557
44,YONGE ST,,MACPHERSON AVE,ROWANWOOD AVE,10-Apr-1948,43.6791392,-79.390424,4/25/2012,15632,4127
46,YONGE ST,,ST CLAIR AVE,,05-Apr-1927,43.688075,-79.394098,7/19/2012,25946,18761
46,YONGE ST,,ST CLAIR AVE,,05-Apr-1927,43.688075,-79.394098,8/29/2012,25665,23076
47,YONGE ST,,CHAPLIN CRES,DAVISVILLE AVE,14-Jun-1930,43.6982977,-79.396601,5/7/2012,22833,14095
49,YONGE ST,,EGLINTON AVE,,21-Aug-1929,43.7067501,-79.398311,10/29/2012,34084,25366
51,YONGE ST,,CASTLEFIELD AVE,,21-Aug-1929,43.7118551,-79.399437,7/10/2012,15456,3080
52,YONGE ST,,BLYTHWOOD RD,LYTTON BLVD,12-Aug-1954,43.716605,-79.400452,4/23/2012,19891,1438
55,YONGE ST,,LAWRENCE AVE,,03-Jan-1941,43.7251031,-79.402193,5/3/2012,31417,3931
69,BAY ST,,WELLESLEY ST W,,30-Dec-1930,43.664366,-79.387151,6/18/2012,17332,8328
71,YORK ST,,WELLINGTON ST W,,22-Jun-1928,43.6466383,-79.383007,8/7/2012,10874,21676
74,YORK ST,,RICHMOND ST W,,06-Nov-1928,43.6505005,-79.38462,7/10/2012,13473,12639
78,UNIVERSITY AVE,,ADELAIDE ST W,,02-Dec-1932,43.648857,-79.38548,7/31/2012,23606,9272
86,AVENUE RD,,BLOOR ST W,,21-Jul-1928,43.668685,-79.394119,6/20/2012,29186,9903
89,EGLINTON AVE E,,RUMSEY RD,,29-Dec-1958,43.7125627,-79.369606,3/21/2012,18995,716
90,EGLINTON AVE E,,BAYVIEW AVE,,21-Mar-1960,43.711056,-79.377114,3/29/2012,30378,2880
92,MOUNT PLEASANT RD,,EGLINTON AVE E,,29-Jun-1939,43.7084166,-79.390153,5/17/2012,26734,7841
92,MOUNT PLEASANT RD,,EGLINTON AVE E,,29-Jun-1939,43.7084166,-79.390153,10/30/2012,27384,7399
94,EGLINTON AVE W,,DUPLEX AVE,,04-Oct-1953,43.7063458,-79.400252,10/29/2012,15743,1967
95,EGLINTON AVE W,,ORIOLE PKWY,,24-Dec-1954,43.7051068,-79.406125,4/24/2012,14501,1198
95,EGLINTON AVE W,,ORIOLE PKWY,,24-Dec-1954,43.7051068,-79.406125,10/29/2012,13295,488
96,AVENUE RD,,EGLINTON AVE W,,08-Jan-1937,43.7046104,-79.408474,4/24/2012,24539,3424
96,AVENUE RD,,EGLINTON AVE W,,08-Jan-1937,43.7046104,-79.408474,10/15/2012,26329,3717
98,EGLINTON AVE W,,CHAPLIN CRES,,01-Jan-1967,43.7027131,-79.417444,4/17/2012,16327,387
98,EGLINTON AVE W,,CHAPLIN CRES,,01-Jan-1967,43.7027131,-79.417444,10/15/2012,19751,1037
99,EGLINTON AVE W,,SPADINA RD,,09-Aug-1976,43.7023611,-79.419081,4/26/2012,20677,526
99,EGLINTON AVE W,,SPADINA RD,,09-Aug-1976,43.7023611,-79.419081,10/29/2012,20620,416
100,BATHURST ST,,EGLINTON AVE W,,01-Jan-1967,43.7009757,-79.425534,4/24/2012,30660,2961
100,BATHURST ST,,EGLINTON AVE W,,01-Jan-1967,43.7009757,-79.425534,10/22/2012,35230,2990
101,EGLINTON AVE W,,GLEN CEDAR RD,OLD PARK RD,10-Jul-1968,43.6998248,-79.430961,4/4/2012,19571,2058
101,EGLINTON AVE W,,GLEN CEDAR RD,OLD PARK RD,10-Jul-1968,43.6998248,-79.430961,10/22/2012,18102,1842
102,EGLINTON AVE W,,MARLEE AVE,,12-Feb-1959,43.698048,-79.439379,10/30/2012,17430,1355
103,EGLINTON AVE W,,OAKWOOD AVE,,31-Jan-1958,43.6972932,-79.442789,10/29/2012,17171,3006
104,EGLINTON AVE W,,NORTHCLIFFE BLVD,,31-Jan-1958,43.696242,-79.447688,3/1/2012,10262,2259
104,EGLINTON AVE W,,NORTHCLIFFE BLVD,,31-Jan-1958,43.696242,-79.447688,10/29/2012,10866,1897
105,DUFFERIN ST,,EGLINTON AVE W,,13-Nov-1963,43.695684,-79.450293,10/22/2012,23314,6086
106,EGLINTON AVE W,,ENNERDALE RD,,31-Jan-1958,43.694985,-79.453476,3/21/2012,9802,3069
108,AVENUE RD,,DAVENPORT RD,,03-Nov-1932,43.674705,-79.396651,4/2/2012,32938,4095
110,AVENUE RD,,COTTINGHAM ST,,19-Nov-1948,43.6795475,-79.39855,1/24/2012,18929,662
111,AVENUE RD,,BALMORAL AVE,,02-Mar-1953,43.6843241,-79.400495,1/25/2012,23233,968
112,ST CLAIR AVE W,,AVENUE RD,,26-Aug-1929,43.686624,-79.401479,4/16/2012,31122,5149
114,ORIOLE PKWY,,GORMLEY AVE,,28-Jan-1957,43.6937297,-79.401852,1/18/2012,14287,306
